Source Name	Cell ID	Centroids RAW X	Centroids RAW Y	Centroids RAW Z	Centroids TFOR X	Centroids TFOR Y	Centroids TFOR Z	Longest Extension	Major Axis Length	Major/Medium Axis Eccentricity	Major/Minor Axis Eccentricity	Medium Axis Length	Medium/Minor Axis Eccentricity	Minor Axis Length	Orientation along X	Orientation along Y	Orientation along Z	Roundness (Smoothness)	Sphericity	Surface Area	Volume	X Axis Length	Y Axis Length	Y/X Aspect Ratio	Z Axis Length	Z/X Aspect Ratio	Z/Y Aspect Ratio
15999C80F3	1	94.90704273504274	43.14597313797313	1.1925339366515837	-64.47317460713302	-6.446581859279995	-12.052526468848628	4.815270887426385	7.643935258973951	0.18651653010195765	0.7842893144509995	7.509798128060526	0.7753950024932978	4.74226115687263	-0.8396045097585575	0.09194160001198062	0.5353606348811327	0.7948456428339546	0.7534474421791284	134.3204959086367	97.77705209999998	7.7323579807650304	7.139176470099704	0.9232858188742785	6.8697359523886625	0.8884399777503549	0.9622588797406099
15999C80F3	2	94.23429115345536	44.271497210388404	6.051279166146771	-64.98019404076254	-2.5759851094776325	-8.876331193428962	6.539997368716957	11.24271570889488	0.5929382282580887	0.8535112606417915	9.053173752524103	0.7624067681156238	5.858291316732312	-0.3861528421264983	0.53145156820391	0.7539530576708555	0.8968856324935783	0.8537770334417962	256.18461568066414	262.65366179999995	8.225153022394728	8.803906067285853	1.070363802754228	9.580109513225064	1.1647332866806464	1.0881658027705998
15999C80F3	3	110.55701459728122	46.62071534517631	6.578005299550009	-48.595522761182124	-3.374731598604889	-7.106552112795328	6.84122557091412	11.004383822008712	0.39133750123803135	0.6718800598123487	10.126753704960938	0.5934797834405997	8.150506547396285	-0.40154237127632886	0.7049578343451754	0.5846350792290373	0.8401218399434535	0.8540591670075361	303.7883655796846	298.60052219999994	7.836672423000124	10.491012989572287	1.3387076074255504	8.958671283760594	1.143172867283246	0.8539376791035538
15999C80F3	4	117.29779025781662	48.4973431451898	7.438002019471795	-41.62587409383101	-2.6122916377352015	-6.370301120615409	7.601694239694856	11.880276486519593	0.6512590896739725	0.8084676214361313	9.015412591570824	0.6312694528538555	6.99202573020573	-0.43298725063277194	0.5739759467633684	0.6950350015118433	0.8575716624132738	0.8245480763840213	293.7426016689245	297.90527489999994	8.309621699423346	10.254588623643432	1.234062030086768	10.624338322346254	1.2785586043084898	1.0360569996782036
15999C80F3	5	87.52492336290987	41.034640463003775	6.9927952703091165	-72.29736287690004	-3.3539469347342434	-7.381966462783476	8.122459308126013	13.295283086954253	0.5760390667850613	0.9091194577233856	10.867859066554814	0.8604279906776731	5.537957209975795	-0.9231034667723875	0.2798223672809412	0.26377913564588384	0.8250426354227174	0.7890441833171951	299.9564787773956	244.30100579999996	11.692058095652058	10.805180247699028	0.9241469858687381	8.153952609020987	0.6973924130648315	0.7546336499807468
15999C80F3	6	100.22523522242535	48.03837256832138	7.680470397974969	-58.29868081505843	0.26400988076664333	-8.712519289942524	8.244449473078275	14.33176155313775	0.7024975874927032	0.9008224596666127	10.199715834605275	0.7923374882753734	6.222673551374671	-0.7589211838055413	0.1826171044320399	0.6250517018135805	0.8421991609479369	0.7731711524815981	327.96119871451515	299.6305181999999	12.378084853881774	9.34697031947887	0.755122495104536	10.57278102919011	0.8541532195002267	1.131145244695672
15999C80F3	7	93.02416445090523	47.34266308973173	9.150796881194662	-65.48920593995847	1.8877516028960621	-8.311142720751532	7.955893090209668	15.2197972353494	0.8185233458718885	0.9228942966255369	8.743366611262742	0.7421154404594669	5.860434601723105	0.6906994266446084	-0.3153885387199249	-0.6507414015389829	0.8457834533937993	0.7196740591490616	314.41081514998046	265.7038544999999	11.215496017708453	8.10005404299002	0.7222198670661221	13.128276512588869	1.170548007137649	1.6207640644015693
15999C80F3	8	83.2197983049128	42.81717414761461	8.045473849729321	-76.06663756399448	-0.5497114473174172	-8.247120759818422	8.84133458078727	16.213651541696905	0.8781881209462725	0.9498594702879183	7.755239262485553	0.7567495535393812	5.069638007007218	-0.6572393815819826	0.4009088602058897	0.6382072399355457	0.8693390554983105	0.7344717886623902	292.0864220477589	253.82612789999993	12.92296059380314	9.228513964416535	0.7141176278786939	10.809572896460626	0.8364625751195177	1.171323242088636
15999C80F3	9	112.2337274237288	50.82422806779661	8.218729449152542	-45.99165193380753	0.597965516732371	-7.887830034428921	7.225888678460975	12.041253202246967	0.2469758944050404	0.8444349909552586	11.668234731814024	0.8333256713693501	6.449994204483447	-0.06621202858054007	0.20835104927808393	0.9758103337923673	0.8227338081677678	0.7791964287153031	321.623135236331	276.22619999999995	12.429001014227502	7.989282184630399	0.6427935902076967	11.723908750576197	0.9432703993793077	1.4674545822314786
15999C80F3	10	104.5631616726268	45.47969031358525	7.114261577092397	-54.69899500893633	-2.870769443015945	-7.009441521520778	7.326234429963952	12.579341586829962	0.6745297024276273	0.8371104535970064	9.286670113162195	0.6715164637257847	6.881326296062304	-0.41275603463856997	0.7204565740536147	0.5572923656146495	0.8798533212818915	0.8152388677962905	342.48218133251703	362.6475461999999	9.755514068351786	11.64935643503473	1.1941304531379668	8.487301555958538	0.8700004424669427	0.7285639857695054
